geo,nace_r2,year,activity,country
AL,B0510,2022,Mining of hard coal,Albania
AL,B0510,2023,Mining of hard coal,Albania
AL,B0520,2022,Mining of lignite,Albania
AL,B0520,2023,Mining of lignite,Albania
AL,B0610,2021,Extraction of crude petroleum,Albania
AL,B0610,2022,Extraction of crude petroleum,Albania
AL,B0610,2023,Extraction of crude petroleum,Albania
AL,B0620,2021,Extraction of natural gas,Albania
AL,B0620,2022,Extraction of natural gas,Albania
AL,B0620,2023,Extraction of natural gas,Albania
AL,B0811,2023,"Quarrying of ornamental and building stone, limestone, gypsum, chalk and slate",Albania
AL,B0812,2021,"""Operation of gravel and sand pits; mining of clays and kaolin""",Albania
AL,B0812,2022,"""Operation of gravel and sand pits; mining of clays and kaolin""",Albania
AL,B0812,2023,"""Operation of gravel and sand pits; mining of clays and kaolin""",Albania
AL,B0891,2023,Mining of chemical and fertiliser minerals,Albania
AL,B0893,2021,Extraction of salt,Albania
AL,B0893,2022,Extraction of salt,Albania
AL,B0893,2023,Extraction of salt,Albania
AL,B0899,2023,Other mining and quarrying n.e.c.,Albania
AL,B0910,2021,Support activities for petroleum and natural gas extraction,Albania
AL,B0910,2022,Support activities for petroleum and natural gas extraction,Albania
AL,B0910,2023,Support activities for petroleum and natural gas extraction,Albania
AL,B0990,2021,Support activities for other mining and quarrying,Albania
AL,B0990,2022,Support activities for other mining and quarrying,Albania
AL,B0990,2023,Support activities for other mining and quarrying,Albania
AL,C1012,2021,Processing and preserving of poultry meat,Albania
AL,C1012,2022,Processing and preserving of poultry meat,Albania
AL,C1012,2023,Processing and preserving of poultry meat,Albania
AL,C1031,2023,Processing and preserving of potatoes,Albania
AL,C1051,2021,Operation of dairies and cheese making,Albania
AL,C1051,2022,Operation of dairies and cheese making,Albania
AL,C1051,2023,Operation of dairies and cheese making,Albania
AL,C1061,2021,Manufacture of grain mill products,Albania
AL,C1061,2022,Manufacture of grain mill products,Albania
AL,C1061,2023,Manufacture of grain mill products,Albania
AL,C1062,2023,Manufacture of starches and starch products,Albania
AL,C1081,2021,Manufacture of sugar,Albania
AL,C1081,2022,Manufacture of sugar,Albania
AL,C1081,2023,Manufacture of sugar,Albania
AL,C1086,2023,Manufacture of homogenised food preparations and dietetic food,Albania
AL,C1089,2023,Manufacture of other food products n.e.c.,Albania
AL,C1091,2021,Manufacture of prepared feeds for farm animals,Albania
AL,C1091,2022,Manufacture of prepared feeds for farm animals,Albania
AL,C1091,2023,Manufacture of prepared feeds for farm animals,Albania
AL,C1092,2023,Manufacture of prepared pet foods,Albania
AL,C1103,2021,Manufacture of cider and other fruit wines,Albania
AL,C1103,2022,Manufacture of cider and other fruit wines,Albania
AL,C1103,2023,Manufacture of cider and other fruit wines,Albania
AL,C1104,2023,Manufacture of other non-distilled fermented beverages,Albania
AL,C1105,2023,Manufacture of beer,Albania
AL,C1200,2021,Manufacture of tobacco products,Albania
AL,C1200,2022,Manufacture of tobacco products,Albania
AL,C1200,2023,Manufacture of tobacco products,Albania
AL,C1310,2023,Preparation and spinning of textile fibres,Albania
AL,C1320,2021,Weaving of textiles,Albania
AL,C1320,2022,Weaving of textiles,Albania
AL,C1320,2023,Weaving of textiles,Albania
AL,C1391,2021,Manufacture of knitted and crocheted fabrics,Albania
AL,C1391,2022,Manufacture of knitted and crocheted fabrics,Albania
AL,C1393,2023,Manufacture of carpets and rugs,Albania
AL,C1394,2023,"Manufacture of cordage, rope, twine and netting",Albania
AL,C1396,2023,Manufacture of other technical and industrial textiles,Albania
AL,C1420,2021,Manufacture of articles of fur,Albania
AL,C1420,2022,Manufacture of articles of fur,Albania
AL,C1420,2023,Manufacture of articles of fur,Albania
AL,C1431,2021,Manufacture of knitted and crocheted hosiery,Albania
AL,C1431,2022,Manufacture of knitted and crocheted hosiery,Albania
AL,C1431,2023,Manufacture of knitted and crocheted hosiery,Albania
AL,C1610,2021,Sawmilling and planing of wood,Albania
AL,C1610,2022,Sawmilling and planing of wood,Albania
AL,C1610,2023,Sawmilling and planing of wood,Albania
AL,C1621,2021,Manufacture of veneer sheets and wood-based panels,Albania
AL,C1621,2022,Manufacture of veneer sheets and wood-based panels,Albania
AL,C1621,2023,Manufacture of veneer sheets and wood-based panels,Albania
AL,C1711,2021,Manufacture of pulp,Albania
AL,C1711,2022,Manufacture of pulp,Albania
AL,C1711,2023,Manufacture of pulp,Albania
AL,C1712,2023,Manufacture of paper and paperboard,Albania
AL,C1721,2021,Manufacture of corrugated paper and paperboard and of containers of paper and paperboard,Albania
AL,C1721,2022,Manufacture of corrugated paper and paperboard and of containers of paper and paperboard,Albania
AL,C1721,2023,Manufacture of corrugated paper and paperboard and of containers of paper and paperboard,Albania
AL,C1811,2021,Printing of newspapers,Albania
AL,C1811,2022,Printing of newspapers,Albania
AL,C1811,2023,Printing of newspapers,Albania
AL,C1812,2022,Other printing,Albania
AL,C1812,2023,Other printing,Albania
AL,C1813,2022,Pre-press and pre-media services,Albania
AL,C1813,2023,Pre-press and pre-media services,Albania
AL,C1814,2022,Binding and related services,Albania
AL,C1814,2023,Binding and related services,Albania
AL,C1820,2021,Reproduction of recorded media,Albania
AL,C1820,2022,Reproduction of recorded media,Albania
AL,C1820,2023,Reproduction of recorded media,Albania
AL,C1910,2021,Manufacture of coke oven products,Albania
AL,C1910,2022,Manufacture of coke oven products,Albania
AL,C1910,2023,Manufacture of coke oven products,Albania
AL,C1920,2021,Manufacture of refined petroleum products,Albania
AL,C1920,2022,Manufacture of refined petroleum products,Albania
AL,C1920,2023,Manufacture of refined petroleum products,Albania
AL,C2012,2023,Manufacture of dyes and pigments,Albania
AL,C2013,2023,Manufacture of other inorganic basic chemicals,Albania
AL,C2016,2023,Manufacture of plastics in primary forms,Albania
AL,C2017,2021,Manufacture of synthetic rubber in primary forms,Albania
AL,C2017,2022,Manufacture of synthetic rubber in primary forms,Albania
AL,C2017,2023,Manufacture of synthetic rubber in primary forms,Albania
AL,C2041,2021,"Manufacture of soap and detergents, cleaning and polishing preparations",Albania
AL,C2041,2022,"Manufacture of soap and detergents, cleaning and polishing preparations",Albania
AL,C2041,2023,"Manufacture of soap and detergents, cleaning and polishing preparations",Albania
AL,C2042,2023,Manufacture of perfumes and toilet preparations,Albania
AL,C2051,2021,Manufacture of explosives,Albania
AL,C2051,2022,Manufacture of explosives,Albania
AL,C2051,2023,Manufacture of explosives,Albania
AL,C2052,2023,Manufacture of glues,Albania
AL,C2110,2021,Manufacture of basic pharmaceutical products,Albania
AL,C2110,2022,Manufacture of basic pharmaceutical products,Albania
AL,C2110,2023,Manufacture of basic pharmaceutical products,Albania
AL,C2120,2021,Manufacture of pharmaceutical preparations,Albania
AL,C2120,2022,Manufacture of pharmaceutical preparations,Albania
AL,C2120,2023,Manufacture of pharmaceutical preparations,Albania
AL,C2219,2021,Manufacture of other rubber products,Albania
AL,C2219,2022,Manufacture of other rubber products,Albania
AL,C2219,2023,Manufacture of other rubber products,Albania
AL,C2221,2021,"Manufacture of plastic plates, sheets, tubes and profiles",Albania
AL,C2221,2022,"Manufacture of plastic plates, sheets, tubes and profiles",Albania
AL,C2221,2023,"Manufacture of plastic plates, sheets, tubes and profiles",Albania
AL,C2223,2021,Manufacture of builders' ware of plastic,Albania
AL,C2223,2022,Manufacture of builders' ware of plastic,Albania
AL,C2223,2023,Manufacture of builders' ware of plastic,Albania
AL,C2229,2021,Manufacture of other plastic products,Albania
AL,C2229,2022,Manufacture of other plastic products,Albania
AL,C2229,2023,Manufacture of other plastic products,Albania
AL,C2311,2021,Manufacture of flat glass,Albania
AL,C2311,2022,Manufacture of flat glass,Albania
AL,C2311,2023,Manufacture of flat glass,Albania
AL,C2312,2023,Shaping and processing of flat glass,Albania
AL,C2319,2023,"Manufacture and processing of other glass, including technical glassware",Albania
AL,C2320,2023,Manufacture of refractory products,Albania
AL,C2331,2021,Manufacture of ceramic tiles and flags,Albania
AL,C2331,2022,Manufacture of ceramic tiles and flags,Albania
AL,C2331,2023,Manufacture of ceramic tiles and flags,Albania
AL,C2341,2021,Manufacture of ceramic household and ornamental articles,Albania
AL,C2341,2022,Manufacture of ceramic household and ornamental articles,Albania
AL,C2341,2023,Manufacture of ceramic household and ornamental articles,Albania
AL,C2344,2023,Manufacture of other technical ceramic products,Albania
AL,C2349,2023,Manufacture of other ceramic products,Albania
AL,C2351,2023,Manufacture of cement,Albania
AL,C2352,2023,Manufacture of lime and plaster,Albania
AL,C2361,2021,Manufacture of concrete products for construction purposes,Albania
AL,C2361,2022,Manufacture of concrete products for construction purposes,Albania
AL,C2361,2023,Manufacture of concrete products for construction purposes,Albania
AL,C2364,2023,Manufacture of mortars,Albania
AL,C2365,2023,Manufacture of fibre cement,Albania
AL,C2391,2021,Production of abrasive products,Albania
AL,C2391,2022,Production of abrasive products,Albania
AL,C2391,2023,Production of abrasive products,Albania
AL,C2399,2023,Manufacture of other non-metallic mineral products n.e.c.,Albania
AL,C2410,2021,Manufacture of basic iron and steel and of ferro-alloys,Albania
AL,C2410,2022,Manufacture of basic iron and steel and of ferro-alloys,Albania
AL,C2410,2023,Manufacture of basic iron and steel and of ferro-alloys,Albania
AL,C2420,2021,"Manufacture of tubes, pipes, hollow profiles and related fittings, of steel",Albania
AL,C2420,2022,"Manufacture of tubes, pipes, hollow profiles and related fittings, of steel",Albania
AL,C2420,2023,"Manufacture of tubes, pipes, hollow profiles and related fittings, of steel",Albania
AL,C2432,2021,Cold rolling of narrow strip,Albania
AL,C2432,2022,Cold rolling of narrow strip,Albania
AL,C2432,2023,Cold rolling of narrow strip,Albania
AL,C2434,2021,Cold drawing of wire,Albania
AL,C2434,2022,Cold drawing of wire,Albania
AL,C2434,2023,Cold drawing of wire,Albania
AL,C2441,2021,Precious metals production,Albania
AL,C2441,2022,Precious metals production,Albania
AL,C2441,2023,Precious metals production,Albania
AL,C2451,2021,Casting of iron,Albania
AL,C2451,2022,Casting of iron,Albania
AL,C2451,2023,Casting of iron,Albania
AL,C2452,2021,Casting of steel,Albania
AL,C2452,2022,Casting of steel,Albania
AL,C2452,2023,Casting of steel,Albania
AL,C2454,2021,Casting of other non-ferrous metals,Albania
AL,C2454,2022,Casting of other non-ferrous metals,Albania
AL,C2454,2023,Casting of other non-ferrous metals,Albania
AL,C2521,2021,Manufacture of central heating radiators and boilers,Albania
AL,C2521,2022,Manufacture of central heating radiators and boilers,Albania
AL,C2521,2023,Manufacture of central heating radiators and boilers,Albania
AL,C2529,2023,"Manufacture of other tanks, reservoirs and containers of metal",Albania
AL,C2530,2021,"Manufacture of steam generators, except central heating hot water boilers",Albania
AL,C2530,2022,"Manufacture of steam generators, except central heating hot water boilers",Albania
AL,C2530,2023,"Manufacture of steam generators, except central heating hot water boilers",Albania
AL,C2561,2021,Treatment and coating of metals,Albania
AL,C2561,2022,Treatment and coating of metals,Albania
AL,C2561,2023,Treatment and coating of metals,Albania
AL,C2571,2021,Manufacture of cutlery,Albania
AL,C2571,2022,Manufacture of cutlery,Albania
AL,C2571,2023,Manufacture of cutlery,Albania
AL,C2573,2023,Manufacture of tools,Albania
AL,C2592,2021,Manufacture of light metal packaging,Albania
AL,C2592,2022,Manufacture of light metal packaging,Albania
AL,C2592,2023,Manufacture of light metal packaging,Albania
AL,C2593,2023,"Manufacture of wire products, chain and springs",Albania
AL,C2594,2023,Manufacture of fasteners and screw machine products,Albania
AL,C2611,2021,Manufacture of electronic components,Albania
AL,C2611,2022,Manufacture of electronic components,Albania
AL,C2611,2023,Manufacture of electronic components,Albania
AL,C2612,2021,Manufacture of loaded electronic boards,Albania
AL,C2612,2022,Manufacture of loaded electronic boards,Albania
AL,C2612,2023,Manufacture of loaded electronic boards,Albania
AL,C2630,2021,Manufacture of communication equipment,Albania
AL,C2630,2022,Manufacture of communication equipment,Albania
AL,C2630,2023,Manufacture of communication equipment,Albania
AL,C2640,2021,Manufacture of consumer electronics,Albania
AL,C2640,2022,Manufacture of consumer electronics,Albania
AL,C2640,2023,Manufacture of consumer electronics,Albania
AL,C2651,2021,"Manufacture of instruments and appliances for measuring, testing and navigation",Albania
AL,C2651,2022,"Manufacture of instruments and appliances for measuring, testing and navigation",Albania
AL,C2651,2023,"Manufacture of instruments and appliances for measuring, testing and navigation",Albania
AL,C2711,2021,"Manufacture of electric motors, generators and transformers",Albania
AL,C2711,2022,"Manufacture of electric motors, generators and transformers",Albania
AL,C2711,2023,"Manufacture of electric motors, generators and transformers",Albania
AL,C2712,2023,Manufacture of electricity distribution and control apparatus,Albania
AL,C2731,2021,Manufacture of fibre optic cables,Albania
AL,C2731,2022,Manufacture of fibre optic cables,Albania
AL,C2731,2023,Manufacture of fibre optic cables,Albania
AL,C2732,2021,Manufacture of other electronic and electric wires and cables,Albania
AL,C2732,2022,Manufacture of other electronic and electric wires and cables,Albania
AL,C2732,2023,Manufacture of other electronic and electric wires and cables,Albania
AL,C2740,2021,Manufacture of electric lighting equipment,Albania
AL,C2740,2022,Manufacture of electric lighting equipment,Albania
AL,C2740,2023,Manufacture of electric lighting equipment,Albania
AL,C2751,2021,Manufacture of electric domestic appliances,Albania
AL,C2751,2022,Manufacture of electric domestic appliances,Albania
AL,C2751,2023,Manufacture of electric domestic appliances,Albania
AL,C2752,2023,Manufacture of non-electric domestic appliances,Albania
AL,C2790,2021,Manufacture of other electrical equipment,Albania
AL,C2790,2022,Manufacture of other electrical equipment,Albania
AL,C2790,2023,Manufacture of other electrical equipment,Albania
AL,C2811,2021,"Manufacture of engines and turbines, except aircraft, vehicle and cycle engines",Albania
AL,C2811,2022,"Manufacture of engines and turbines, except aircraft, vehicle and cycle engines",Albania
AL,C2811,2023,"Manufacture of engines and turbines, except aircraft, vehicle and cycle engines",Albania
AL,C2814,2021,Manufacture of other taps and valves,Albania
AL,C2814,2022,Manufacture of other taps and valves,Albania
AL,C2814,2023,Manufacture of other taps and valves,Albania
AL,C2821,2021,"Manufacture of ovens, furnaces and furnace burners",Albania
AL,C2821,2022,"Manufacture of ovens, furnaces and furnace burners",Albania
AL,C2821,2023,"Manufacture of ovens, furnaces and furnace burners",Albania
AL,C2823,2021,Manufacture of office machinery and equipment (except computers and peripheral equipment),Albania
AL,C2823,2022,Manufacture of office machinery and equipment (except computers and peripheral equipment),Albania
AL,C2823,2023,Manufacture of office machinery and equipment (except computers and peripheral equipment),Albania
AL,C2825,2023,Manufacture of non-domestic cooling and ventilation equipment,Albania
AL,C2830,2021,Manufacture of agricultural and forestry machinery,Albania
AL,C2830,2022,Manufacture of agricultural and forestry machinery,Albania
AL,C2830,2023,Manufacture of agricultural and forestry machinery,Albania
AL,C2841,2021,Manufacture of metal forming machinery,Albania
AL,C2841,2022,Manufacture of metal forming machinery,Albania
AL,C2841,2023,Manufacture of metal forming machinery,Albania
AL,C2849,2023,Manufacture of other machine tools,Albania
AL,C2893,2023,"Manufacture of machinery for food, beverage and tobacco processing",Albania
AL,C2895,2023,Manufacture of machinery for paper and paperboard production,Albania
AL,C2896,2021,Manufacture of plastics and rubber machinery,Albania
AL,C2896,2022,Manufacture of plastics and rubber machinery,Albania
AL,C2896,2023,Manufacture of plastics and rubber machinery,Albania
AL,C2899,2021,Manufacture of other special-purpose machinery n.e.c.,Albania
AL,C2899,2022,Manufacture of other special-purpose machinery n.e.c.,Albania
AL,C2899,2023,Manufacture of other special-purpose machinery n.e.c.,Albania
AL,C2920,2021,Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers,Albania
AL,C2920,2022,Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers,Albania
AL,C2920,2023,Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers,Albania
AL,C2931,2021,Manufacture of electrical and electronic equipment for motor vehicles,Albania
AL,C2931,2022,Manufacture of electrical and electronic equipment for motor vehicles,Albania
AL,C2931,2023,Manufacture of electrical and electronic equipment for motor vehicles,Albania
AL,C2932,2021,Manufacture of other parts and accessories for motor vehicles,Albania
AL,C2932,2022,Manufacture of other parts and accessories for motor vehicles,Albania
AL,C2932,2023,Manufacture of other parts and accessories for motor vehicles,Albania
AL,C3011,2021,Building of ships and floating structures,Albania
AL,C3011,2022,Building of ships and floating structures,Albania
AL,C3011,2023,Building of ships and floating structures,Albania
AL,C3020,2021,Manufacture of railway locomotives and rolling stock,Albania
AL,C3020,2022,Manufacture of railway locomotives and rolling stock,Albania
AL,C3020,2023,Manufacture of railway locomotives and rolling stock,Albania
AL,C3030,2022,Manufacture of air and spacecraft and related machinery,Albania
AL,C3030,2023,Manufacture of air and spacecraft and related machinery,Albania
AL,C3211,2021,Striking of coins,Albania
AL,C3211,2022,Striking of coins,Albania
AL,C3211,2023,Striking of coins,Albania
AL,C3212,2023,Manufacture of jewellery and related articles,Albania
AL,C3240,2021,Manufacture of games and toys,Albania
AL,C3240,2022,Manufacture of games and toys,Albania
AL,C3240,2023,Manufacture of games and toys,Albania
AL,C3250,2021,Manufacture of medical and dental instruments and supplies,Albania
AL,C3250,2022,Manufacture of medical and dental instruments and supplies,Albania
AL,C3250,2023,Manufacture of medical and dental instruments and supplies,Albania
AL,C3291,2021,Manufacture of brooms and brushes,Albania
AL,C3291,2022,Manufacture of brooms and brushes,Albania
AL,C3291,2023,Manufacture of brooms and brushes,Albania
AL,C3311,2021,Repair of fabricated metal products,Albania
AL,C3311,2022,Repair of fabricated metal products,Albania
AL,C3311,2023,Repair of fabricated metal products,Albania
AL,C3316,2023,Repair and maintenance of aircraft and spacecraft,Albania
AL,C3320,2021,Installation of industrial machinery and equipment,Albania
AL,C3320,2022,Installation of industrial machinery and equipment,Albania
AL,C3320,2023,Installation of industrial machinery and equipment,Albania
AL,D3511,2021,Production of electricity,Albania
AL,D3511,2022,Production of electricity,Albania
AL,D3511,2023,Production of electricity,Albania
AL,D3512,2023,Transmission of electricity,Albania
AL,D3521,2021,Manufacture of gas,Albania
AL,D3521,2022,Manufacture of gas,Albania
AL,D3521,2023,Manufacture of gas,Albania
AL,D3522,2021,Distribution of gaseous fuels through mains,Albania
AL,D3522,2022,Distribution of gaseous fuels through mains,Albania
AL,D3522,2023,Distribution of gaseous fuels through mains,Albania
AL,D3530,2023,Steam and air conditioning supply,Albania
AL,E3700,2021,Sewerage,Albania
AL,E3700,2022,Sewerage,Albania
AL,E3812,2021,Collection of hazardous waste,Albania
AL,E3812,2022,Collection of hazardous waste,Albania
AL,E3812,2023,Collection of hazardous waste,Albania
AL,E3821,2021,Treatment and disposal of non-hazardous waste,Albania
AL,E3821,2022,Treatment and disposal of non-hazardous waste,Albania
AL,E3821,2023,Treatment and disposal of non-hazardous waste,Albania
AL,E3822,2023,Treatment and disposal of hazardous waste,Albania
AL,E3900,2022,Remediation activities and other waste management services,Albania
AL,F4212,2021,Construction of railways and underground railways,Albania
AL,F4212,2022,Construction of railways and underground railways,Albania
AL,F4212,2023,Construction of railways and underground railways,Albania
AL,F4213,2023,Construction of bridges and tunnels,Albania
AL,F4291,2021,Construction of water projects,Albania
AL,F4291,2022,Construction of water projects,Albania
AL,F4291,2023,Construction of water projects,Albania
AL,F4311,2021,Demolition,Albania
AL,F4311,2022,Demolition,Albania
AL,F4311,2023,Demolition,Albania
AL,F4313,2023,Test drilling and boring,Albania
AL,F4331,2021,Plastering,Albania
AL,F4331,2022,Plastering,Albania
AL,F4331,2023,Plastering,Albania
AL,G4511,2021,Sale of cars and light motor vehicles,Albania
AL,G4511,2022,Sale of cars and light motor vehicles,Albania
AL,G4511,2023,Sale of cars and light motor vehicles,Albania
AL,G4520,2021,Maintenance and repair of motor vehicles,Albania
AL,G4520,2022,Maintenance and repair of motor vehicles,Albania
AL,G4520,2023,Maintenance and repair of motor vehicles,Albania
AL,G4531,2021,Wholesale trade of motor vehicle parts and accessories,Albania
AL,G4531,2022,Wholesale trade of motor vehicle parts and accessories,Albania
AL,G4531,2023,Wholesale trade of motor vehicle parts and accessories,Albania
AL,G4540,2021,"Sale, maintenance and repair of motorcycles and related parts and accessories",Albania
AL,G4540,2022,"Sale, maintenance and repair of motorcycles and related parts and accessories",Albania
AL,G4540,2023,"Sale, maintenance and repair of motorcycles and related parts and accessories",Albania
AL,G4611,2021,"Agents involved in the sale of agricultural raw materials, live animals, textile raw materials and semi-finished goods",Albania
AL,G4611,2022,"Agents involved in the sale of agricultural raw materials, live animals, textile raw materials and semi-finished goods",Albania
AL,G4611,2023,"Agents involved in the sale of agricultural raw materials, live animals, textile raw materials and semi-finished goods",Albania
AL,G4615,2023,"Agents involved in the sale of furniture, household goods, hardware and ironmongery",Albania
AL,G4616,2023,"Agents involved in the sale of textiles, clothing, fur, footwear and leather goods",Albania
AL,G4621,2021,"Wholesale of grain, unmanufactured tobacco, seeds and animal feeds",Albania
AL,G4621,2022,"Wholesale of grain, unmanufactured tobacco, seeds and animal feeds",Albania
AL,G4621,2023,"Wholesale of grain, unmanufactured tobacco, seeds and animal feeds",Albania
AL,G4641,2021,Wholesale of textiles,Albania
AL,G4641,2022,Wholesale of textiles,Albania
AL,G4641,2023,Wholesale of textiles,Albania
AL,G4648,2023,Wholesale of watches and jewellery,Albania
AL,G4651,2021,"Wholesale of computers, computer peripheral equipment and software",Albania
AL,G4651,2022,"Wholesale of computers, computer peripheral equipment and software",Albania
AL,G4651,2023,"Wholesale of computers, computer peripheral equipment and software",Albania
AL,G4661,2021,"Wholesale of agricultural machinery, equipment and supplies",Albania
AL,G4661,2022,"Wholesale of agricultural machinery, equipment and supplies",Albania
AL,G4661,2023,"Wholesale of agricultural machinery, equipment and supplies",Albania
AL,G4664,2023,Wholesale of machinery for the textile industry and of sewing and knitting machines,Albania
AL,G4690,2021,Non-specialised wholesale trade,Albania
AL,G4690,2022,Non-specialised wholesale trade,Albania
AL,G4690,2023,Non-specialised wholesale trade,Albania
AL,G4711,2021,"Retail sale in non-specialised stores with food, beverages or tobacco predominating",Albania
AL,G4711,2022,"Retail sale in non-specialised stores with food, beverages or tobacco predominating",Albania
AL,G4711,2023,"Retail sale in non-specialised stores with food, beverages or tobacco predominating",Albania
AL,G4721,2021,Retail sale of fruit and vegetables in specialised stores,Albania
AL,G4721,2022,Retail sale of fruit and vegetables in specialised stores,Albania
AL,G4721,2023,Retail sale of fruit and vegetables in specialised stores,Albania
AL,G4730,2023,Retail sale of automotive fuel in specialised stores,Albania
AL,G4741,2021,"Retail sale of computers, peripheral units and software in specialised stores",Albania
AL,G4741,2022,"Retail sale of computers, peripheral units and software in specialised stores",Albania
AL,G4741,2023,"Retail sale of computers, peripheral units and software in specialised stores",Albania
AL,G4751,2021,Retail sale of textiles in specialised stores,Albania
AL,G4751,2022,Retail sale of textiles in specialised stores,Albania
AL,G4751,2023,Retail sale of textiles in specialised stores,Albania
AL,G4761,2021,Retail sale of books in specialised stores,Albania
AL,G4761,2022,Retail sale of books in specialised stores,Albania
AL,G4761,2023,Retail sale of books in specialised stores,Albania
AL,G4763,2023,Retail sale of music and video recordings in specialised stores,Albania
AL,G4774,2023,Retail sale of medical and orthopaedic goods in specialised stores,Albania
AL,G4777,2023,Retail sale of watches and jewellery in specialised stores,Albania
AL,G4781,2023,"Retail sale via stalls and markets of food, beverages and tobacco products",Albania
AL,G4782,2023,"Retail sale via stalls and markets of textiles, clothing and footwear",Albania
AL,G4791,2023,Retail sale via mail order houses or via Internet,Albania
AL,G4799,2023,"Other retail sale not in stores, stalls or markets",Albania
AL,H4910,2021,"Passenger rail transport, interurban",Albania
AL,H4910,2022,"Passenger rail transport, interurban",Albania
AL,H4910,2023,"Passenger rail transport, interurban",Albania
AL,H4920,2023,Freight rail transport,Albania
AL,H4931,2021,Urban and suburban passenger land transport,Albania
AL,H4931,2022,Urban and suburban passenger land transport,Albania
AL,H4931,2023,Urban and suburban passenger land transport,Albania
AL,H4932,2021,Taxi operation,Albania
AL,H4932,2022,Taxi operation,Albania
AL,H4932,2023,Taxi operation,Albania
AL,H4941,2021,Freight transport by road,Albania
AL,H4941,2022,Freight transport by road,Albania
AL,H4941,2023,Freight transport by road,Albania
AL,H4950,2021,Transport via pipeline,Albania
AL,H4950,2022,Transport via pipeline,Albania
AL,H4950,2023,Transport via pipeline,Albania
AL,H5010,2021,Sea and coastal passenger water transport,Albania
AL,H5010,2022,Sea and coastal passenger water transport,Albania
AL,H5010,2023,Sea and coastal passenger water transport,Albania
AL,H5030,2021,Inland passenger water transport,Albania
AL,H5030,2022,Inland passenger water transport,Albania
AL,H5030,2023,Inland passenger water transport,Albania
AL,H5110,2021,Passenger air transport,Albania
AL,H5110,2022,Passenger air transport,Albania
AL,H5110,2023,Passenger air transport,Albania
AL,H5121,2021,Freight air transport,Albania
AL,H5121,2022,Freight air transport,Albania
AL,H5121,2023,Freight air transport,Albania
AL,H5122,2022,Space transport,Albania
AL,H5122,2023,Space transport,Albania
AL,H5210,2021,Warehousing and storage,Albania
AL,H5210,2022,Warehousing and storage,Albania
AL,H5210,2023,Warehousing and storage,Albania
AL,H5221,2021,Service activities incidental to land transportation,Albania
AL,H5221,2022,Service activities incidental to land transportation,Albania
AL,H5221,2023,Service activities incidental to land transportation,Albania
AL,H5223,2023,Service activities incidental to air transportation,Albania
AL,H5224,2023,Cargo handling,Albania
AL,H5310,2021,Postal activities under universal service obligation,Albania
AL,H5310,2022,Postal activities under universal service obligation,Albania
AL,H5310,2023,Postal activities under universal service obligation,Albania
AL,H5320,2021,Other postal and courier activities,Albania
AL,H5320,2022,Other postal and courier activities,Albania
AL,H5320,2023,Other postal and courier activities,Albania
AL,I5520,2021,Holiday and other short-stay accommodation,Albania
AL,I5520,2022,Holiday and other short-stay accommodation,Albania
AL,I5520,2023,Holiday and other short-stay accommodation,Albania
AL,I5530,2021,"Camping grounds, recreational vehicle parks and trailer parks",Albania
AL,I5530,2022,"Camping grounds, recreational vehicle parks and trailer parks",Albania
AL,I5530,2023,"Camping grounds, recreational vehicle parks and trailer parks",Albania
AL,I5590,2021,Other accommodation,Albania
AL,I5590,2022,Other accommodation,Albania
AL,I5590,2023,Other accommodation,Albania
AL,I5610,2021,Restaurants and mobile food service activities,Albania
AL,I5610,2022,Restaurants and mobile food service activities,Albania
AL,I5610,2023,Restaurants and mobile food service activities,Albania
AL,I5621,2021,Event catering activities,Albania
AL,I5621,2022,Event catering activities,Albania
AL,I5621,2023,Event catering activities,Albania
AL,I5630,2021,Beverage serving activities,Albania
AL,I5630,2022,Beverage serving activities,Albania
AL,I5630,2023,Beverage serving activities,Albania
AL,J5811,2021,Book publishing,Albania
AL,J5811,2022,Book publishing,Albania
AL,J5811,2023,Book publishing,Albania
AL,J5812,2023,Publishing of directories and mailing lists,Albania
AL,J5911,2021,"Motion picture, video and television programme production activities",Albania
AL,J5911,2022,"Motion picture, video and television programme production activities",Albania
AL,J5911,2023,"Motion picture, video and television programme production activities",Albania
AL,J5912,2022,"Motion picture, video and television programme post-production activities",Albania
AL,J5912,2023,"Motion picture, video and television programme post-production activities",Albania
AL,J5913,2022,"Motion picture, video and television programme distribution activities",Albania
AL,J5913,2023,"Motion picture, video and television programme distribution activities",Albania
AL,J5914,2022,Motion picture projection activities,Albania
AL,J5914,2023,Motion picture projection activities,Albania
AL,J5920,2021,Sound recording and music publishing activities,Albania
AL,J5920,2022,Sound recording and music publishing activities,Albania
AL,J5920,2023,Sound recording and music publishing activities,Albania
AL,J6010,2021,Radio broadcasting,Albania
AL,J6010,2022,Radio broadcasting,Albania
AL,J6010,2023,Radio broadcasting,Albania
AL,J6020,2021,Television programming and broadcasting activities,Albania
AL,J6020,2022,Television programming and broadcasting activities,Albania
AL,J6020,2023,Television programming and broadcasting activities,Albania
AL,J6110,2021,Wired telecommunications activities,Albania
AL,J6110,2022,Wired telecommunications activities,Albania
AL,J6110,2023,Wired telecommunications activities,Albania
